Type,Country,Embassy,GIving notice,Exchanging CNI,Location number,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=,&service=10,&service=7,&service=13
Affirmation,Oman,British Embassy Muscat,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=133&service=13,,133,,,,
,Paraguay,British Embassy Asunción,,,198,,,,
,Peru,British Embassy Lima,,,125,,,,
CNI,Poland,British Embassy Warsaw,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=40&service=10,,40,,,,
Affirmation,Qatar,British Embassy Doha,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=111&service=32,,111,,,,
,Romania,British Embassy Bucharest,,,20,,,,
,Russia,British Embassy Moscow,,,132,,,,
,Saudi Arabia,British Embassy Riyadh,,,140,,,,
,Saudi Arabia,British Consulate General Jeddah,,,68,,,,
CNI,Senegal,British Embassy Dakar,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=110&service=10,,110,,,,
CNI,Serbia,British Embassy Belgrade,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=102&service=10,,102,,,,
Affirmation,Slovenia,British Embassy Ljubljana,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=26&service=13,,26,,,,
,South Korea,British Embassy Seoul,,,146,,,,
,Sudan,British Embassy Khartoum,,,121,,,,
CNI,Sweden,British Embassy Stockholm,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=35&service=10,,35,,,,
,Switzerland,British Embassy Berne,,,17,,,,
CNI,Tajikistan,British Embassy Dushanbe,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=113&service=10,,113,,,,
,Tanzania,British High Commission Dar es Salaam,,,166,,,,
CNI,Tunisia,British Embassy Tunis,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=153&service=10,,153,,,,
,Turkey,British Embassy Ankara,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=93&service=10,,93,,,,
,Turkey,British Consulate General Istanbul,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=67&service=10,,67,,,,
CNI,Turkmenistan,British Embassy Ashgabat,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=95&service=10,,95,,,,
,Ukraine,British Embassy Kyiv,,,82,,,,
Affirmation,United Arab Emirates,British Embassy Abu Dhabi,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=89&service=13,,89,,,,
Affirmation,United Arab Emirates,British Embassy Dubai,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=112&service=13,,112,,,,
CNI,Uzbekistan,British Embassy Tashkent,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=147&service=10,,147,,,,
CNI,Venezuela,British Embassy Caracas,https://www.book-consular-appointment.service.gov.uk/TimeSelection?location=108&service=10,,108,,,,
,Vietnam,British Embassy Hanoi,,,115,,,,
,Vietnam,British Consulate General Ho Chi Minh City,,,64,,,,
,Zimbabwe,British Embassy Harare,,,116,,,,
